id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,466.0,466.0,27960.0,-542.0,-542.0,-32520.0
loop_-1286470869#1_0,786.0,786.0,47160.0,540.0,540.0,32400.0,-246.0,-246.0,-14760.0
loop_-13718894_0,106.0,103.0,6180.0,313.0,313.0,18780.0,207.0,210.0,12600.0
loop_-13718894_1,72.0,70.0,4200.0,72.0,68.0,4080.0,0.0,-2.0,-120.0
loop_-624523286_0,11.0,1.0,12.0,230.0,204.0,2448.0,219.0,203.0,2436.0
loop_-7637536#1_0,46.0,40.0,2400.0,240.0,239.0,14340.0,194.0,199.0,11940.0
loop_119880451_0,344.0,344.0,4128.0,309.0,309.0,3708.0,-35.0,-35.0,-420.0
loop_119880453#0_0,84.0,84.0,5040.0,213.0,213.0,12780.0,129.0,129.0,7740.0
loop_1246214209#0_0,1.0,0.0,0.0,3.0,3.0,180.0,2.0,3.0,180.0
loop_1246214209#0_1,23.0,22.0,1320.0,57.0,57.0,3420.0,34.0,35.0,2100.0
loop_1246214209#0_2,8.0,8.0,480.0,21.0,21.0,1260.0,13.0,13.0,780.0
loop_1286470869#0_0,278.0,278.0,16680.0,474.0,474.0,28440.0,196.0,196.0,11760.0
loop_624515490#0_0,48.0,45.0,2700.0,49.0,46.0,2760.0,1.0,1.0,60.0
loop_624515490#0_1,3.0,1.0,60.0,20.0,10.0,600.0,17.0,9.0,540.0
loop_624515490#0_2,64.0,56.0,3360.0,133.0,133.0,7980.0,69.0,77.0,4620.0
loop_624515490#0_3,32.0,32.0,1920.0,41.0,41.0,2460.0,9.0,9.0,540.0
loop_624523286_1,372.0,370.0,4440.0,260.0,256.0,3072.0,-112.0,-114.0,-1368.0
loop_867177333_0,406.0,405.0,24300.0,365.0,365.0,21900.0,-41.0,-40.0,-2400.0
loop_867177333_1,294.0,294.0,17640.0,223.0,221.0,13260.0,-71.0,-73.0,-4380.0
