id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,842.0,842.0,50520.0,-166.0,-166.0,-9960.0
loop_-1286470869#1_0,786.0,786.0,47160.0,662.0,661.0,39660.0,-124.0,-125.0,-7500.0
loop_-13718894_0,106.0,103.0,6180.0,281.0,280.0,16800.0,175.0,177.0,10620.0
loop_-13718894_1,72.0,70.0,4200.0,107.0,106.0,6360.0,35.0,36.0,2160.0
loop_-624523286_0,11.0,1.0,12.0,245.0,217.0,2604.0,234.0,216.0,2592.0
loop_-7637536#1_0,46.0,40.0,2400.0,51.0,49.0,2940.0,5.0,9.0,540.0
loop_119880451_0,344.0,344.0,4128.0,345.0,344.0,4128.0,1.0,0.0,0.0
loop_119880453#0_0,84.0,84.0,5040.0,216.0,216.0,12960.0,132.0,132.0,7920.0
loop_1246214209#0_0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
loop_1246214209#0_1,23.0,22.0,1320.0,61.0,61.0,3660.0,38.0,39.0,2340.0
loop_1246214209#0_2,8.0,8.0,480.0,23.0,22.0,1320.0,15.0,14.0,840.0
loop_1286470869#0_0,278.0,278.0,16680.0,515.0,515.0,30900.0,237.0,237.0,14220.0
loop_624515490#0_0,48.0,45.0,2700.0,49.0,48.0,2880.0,1.0,3.0,180.0
loop_624515490#0_1,3.0,1.0,60.0,14.0,10.0,600.0,11.0,9.0,540.0
loop_624515490#0_2,64.0,56.0,3360.0,129.0,127.0,7620.0,65.0,71.0,4260.0
loop_624515490#0_3,32.0,32.0,1920.0,52.0,52.0,3120.0,20.0,20.0,1200.0
loop_624523286_1,372.0,370.0,4440.0,305.0,303.0,3636.0,-67.0,-67.0,-804.0
loop_867177333_0,406.0,405.0,24300.0,412.0,411.0,24660.0,6.0,6.0,360.0
loop_867177333_1,294.0,294.0,17640.0,277.0,276.0,16560.0,-17.0,-18.0,-1080.0
