id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,103.0,103.0,6180.0,-905.0,-905.0,-54300.0
loop_-1286470869#1_0,786.0,786.0,47160.0,112.0,111.0,6660.0,-674.0,-675.0,-40500.0
loop_-13718894_0,106.0,103.0,6180.0,159.0,158.0,9480.0,53.0,55.0,3300.0
loop_-13718894_1,72.0,70.0,4200.0,80.0,80.0,4800.0,8.0,10.0,600.0
loop_-624523286_0,11.0,1.0,12.0,14.0,2.0,24.0,3.0,1.0,12.0
loop_-7637536#1_0,46.0,40.0,2400.0,62.0,61.0,3660.0,16.0,21.0,1260.0
loop_119880451_0,344.0,344.0,4128.0,89.0,89.0,1068.0,-255.0,-255.0,-3060.0
loop_119880453#0_0,84.0,84.0,5040.0,124.0,124.0,7440.0,40.0,40.0,2400.0
loop_1246214209#0_0,1.0,0.0,0.0,11.0,5.0,300.0,10.0,5.0,300.0
loop_1246214209#0_1,23.0,22.0,1320.0,17.0,7.0,420.0,-6.0,-15.0,-900.0
loop_1246214209#0_2,8.0,8.0,480.0,12.0,11.0,660.0,4.0,3.0,180.0
loop_1286470869#0_0,278.0,278.0,16680.0,250.0,249.0,14940.0,-28.0,-29.0,-1740.0
loop_624515490#0_0,48.0,45.0,2700.0,40.0,38.0,2280.0,-8.0,-7.0,-420.0
loop_624515490#0_1,3.0,1.0,60.0,11.0,4.0,240.0,8.0,3.0,180.0
loop_624515490#0_2,64.0,56.0,3360.0,99.0,97.0,5820.0,35.0,41.0,2460.0
loop_624515490#0_3,32.0,32.0,1920.0,33.0,33.0,1980.0,1.0,1.0,60.0
loop_624523286_1,372.0,370.0,4440.0,208.0,207.0,2484.0,-164.0,-163.0,-1956.0
loop_867177333_0,406.0,405.0,24300.0,134.0,133.0,7980.0,-272.0,-272.0,-16320.0
loop_867177333_1,294.0,294.0,17640.0,40.0,40.0,2400.0,-254.0,-254.0,-15240.0
