id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,804.0,804.0,48240.0,-204.0,-204.0,-12240.0
loop_-1286470869#1_0,786.0,786.0,47160.0,641.0,640.0,38400.0,-145.0,-146.0,-8760.0
loop_-13718894_0,106.0,103.0,6180.0,313.0,312.0,18720.0,207.0,209.0,12540.0
loop_-13718894_1,72.0,70.0,4200.0,105.0,103.0,6180.0,33.0,33.0,1980.0
loop_-624523286_0,11.0,1.0,12.0,242.0,216.0,2592.0,231.0,215.0,2580.0
loop_-7637536#1_0,46.0,40.0,2400.0,64.0,63.0,3780.0,18.0,23.0,1380.0
loop_119880451_0,344.0,344.0,4128.0,333.0,333.0,3996.0,-11.0,-11.0,-132.0
loop_119880453#0_0,84.0,84.0,5040.0,257.0,257.0,15420.0,173.0,173.0,10380.0
loop_1246214209#0_0,1.0,0.0,0.0,2.0,2.0,120.0,1.0,2.0,120.0
loop_1246214209#0_1,23.0,22.0,1320.0,75.0,74.0,4440.0,52.0,52.0,3120.0
loop_1246214209#0_2,8.0,8.0,480.0,27.0,25.0,1500.0,19.0,17.0,1020.0
loop_1286470869#0_0,278.0,278.0,16680.0,513.0,513.0,30780.0,235.0,235.0,14100.0
loop_624515490#0_0,48.0,45.0,2700.0,42.0,42.0,2520.0,-6.0,-3.0,-180.0
loop_624515490#0_1,3.0,1.0,60.0,19.0,10.0,600.0,16.0,9.0,540.0
loop_624515490#0_2,64.0,56.0,3360.0,122.0,120.0,7200.0,58.0,64.0,3840.0
loop_624515490#0_3,32.0,32.0,1920.0,46.0,44.0,2640.0,14.0,12.0,720.0
loop_624523286_1,372.0,370.0,4440.0,277.0,276.0,3312.0,-95.0,-94.0,-1128.0
loop_867177333_0,406.0,405.0,24300.0,396.0,396.0,23760.0,-10.0,-9.0,-540.0
loop_867177333_1,294.0,294.0,17640.0,267.0,266.0,15960.0,-27.0,-28.0,-1680.0
