id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,nVehEntered_impr,nVehContrib_impr,flow_impr,Δ_nVehEntered(new−base),Δ_nVehEntered(impr−new),Δ_nVehEntered(impr−base),Δ_nVehContrib(new−base),Δ_nVehContrib(impr−new),Δ_nVehContrib(impr−base),Δ_flow(new−base),Δ_flow(impr−new),Δ_flow(impr−base)
loop_-1088700963_0,1008.0,1008.0,60480.0,842.0,842.0,50520.0,293.0,293.0,17580.0,-166.0,-549.0,-715.0,-166.0,-549.0,-715.0,-9960.0,-32940.0,-42900.0
loop_-1286470869#1_0,786.0,786.0,47160.0,662.0,661.0,39660.0,251.0,250.0,15000.0,-124.0,-411.0,-535.0,-125.0,-411.0,-536.0,-7500.0,-24660.0,-32160.0
loop_-13718894_0,106.0,103.0,6180.0,281.0,280.0,16800.0,652.0,652.0,39120.0,175.0,371.0,546.0,177.0,372.0,549.0,10620.0,22320.0,32940.0
loop_-13718894_1,72.0,70.0,4200.0,107.0,106.0,6360.0,293.0,293.0,17580.0,35.0,186.0,221.0,36.0,187.0,223.0,2160.0,11220.0,13380.0
loop_-624523286_0,11.0,1.0,12.0,245.0,217.0,2604.0,242.0,217.0,2604.0,234.0,-3.0,231.0,216.0,0.0,216.0,2592.0,0.0,2592.0
loop_-7637536#1_0,46.0,40.0,2400.0,51.0,49.0,2940.0,40.0,39.0,2340.0,5.0,-11.0,-6.0,9.0,-10.0,-1.0,540.0,-600.0,-60.0
loop_119880451_0,344.0,344.0,4128.0,345.0,344.0,4128.0,263.0,263.0,3156.0,1.0,-82.0,-81.0,0.0,-81.0,-81.0,0.0,-972.0,-972.0
loop_119880453#0_0,84.0,84.0,5040.0,216.0,216.0,12960.0,348.0,347.0,20820.0,132.0,132.0,264.0,132.0,131.0,263.0,7920.0,7860.0,15780.0
loop_1246214209#0_0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,540.0,-1.0,10.0,9.0,0.0,9.0,9.0,0.0,540.0,540.0
loop_1246214209#0_1,23.0,22.0,1320.0,61.0,61.0,3660.0,92.0,81.0,4860.0,38.0,31.0,69.0,39.0,20.0,59.0,2340.0,1200.0,3540.0
loop_1246214209#0_2,8.0,8.0,480.0,23.0,22.0,1320.0,46.0,41.0,2460.0,15.0,23.0,38.0,14.0,19.0,33.0,840.0,1140.0,1980.0
loop_1286470869#0_0,278.0,278.0,16680.0,515.0,515.0,30900.0,976.0,975.0,58500.0,237.0,461.0,698.0,237.0,460.0,697.0,14220.0,27600.0,41820.0
loop_624515490#0_0,48.0,45.0,2700.0,49.0,48.0,2880.0,167.0,165.0,9900.0,1.0,118.0,119.0,3.0,117.0,120.0,180.0,7020.0,7200.0
loop_624515490#0_1,3.0,1.0,60.0,14.0,10.0,600.0,63.0,32.0,1920.0,11.0,49.0,60.0,9.0,22.0,31.0,540.0,1320.0,1860.0
loop_624515490#0_2,64.0,56.0,3360.0,129.0,127.0,7620.0,448.0,445.0,26700.0,65.0,319.0,384.0,71.0,318.0,389.0,4260.0,19080.0,23340.0
loop_624515490#0_3,32.0,32.0,1920.0,52.0,52.0,3120.0,158.0,158.0,9480.0,20.0,106.0,126.0,20.0,106.0,126.0,1200.0,6360.0,7560.0
loop_624523286_1,372.0,370.0,4440.0,305.0,303.0,3636.0,477.0,476.0,5712.0,-67.0,172.0,105.0,-67.0,173.0,106.0,-804.0,2076.0,1272.0
loop_867177333_0,406.0,405.0,24300.0,412.0,411.0,24660.0,391.0,385.0,23100.0,6.0,-21.0,-15.0,6.0,-26.0,-20.0,360.0,-1560.0,-1200.0
loop_867177333_1,294.0,294.0,17640.0,277.0,276.0,16560.0,122.0,121.0,7260.0,-17.0,-155.0,-172.0,-18.0,-155.0,-173.0,-1080.0,-9300.0,-10380.0
