id,total_nVehEntered_base,window_seconds_base,avg_flow_veh_h_base,avg_speed_tw_base,avg_occupancy_tw_base,avg_harmonicMeanSpeed_tw_base,intervals_base,total_nVehEntered_new,window_seconds_new,avg_flow_veh_h_new,avg_speed_tw_new,avg_occupancy_tw_new,avg_harmonicMeanSpeed_tw_new,intervals_new,total_nVehEntered_impr,window_seconds_impr,avg_flow_veh_h_impr,avg_speed_tw_impr,avg_occupancy_tw_impr,avg_harmonicMeanSpeed_tw_impr,intervals_impr,Δ_avg_flow(new−base),Δ_avg_flow(impr−new),Δ_avg_flow(impr−base),Δ_speed_tw(new−base),Δ_speed_tw(impr−new),Δ_speed_tw(impr−base)
loop_-1088700963_0,1008.0,3600.0,1008.0,9.736333333333333,16.272666666666666,9.363833333333336,60,842.0,3600.0,842.0,7.659999999999999,18.997499999999995,6.496999999999999,60,293.0,3600.0,293.0,4.422499999999999,9.928666666666663,3.8609615384615394,60,-166.0,-549.0,-715.0,-2.0763333333333334,-3.2375,-5.313833333333333
loop_-1286470869#1_0,786.0,3600.0,786.0,6.942166666666667,23.184999999999988,5.897833333333334,60,662.0,3600.0,662.0,5.339,55.433500000000016,2.09,60,251.0,3600.0,251.0,3.8544444444444443,78.30583333333335,1.458888888888889,60,-124.0,-411.0,-535.0,-1.6031666666666666,-1.484555555555556,-3.0877222222222227
loop_-13718894_0,106.0,3600.0,106.0,1.7893103448275864,92.23000000000002,0.7872413793103448,60,281.0,3600.0,281.0,4.659090909090908,84.0215,0.7967272727272724,60,652.0,3600.0,652.0,5.215,63.937499999999986,2.0451724137931038,60,175.0,371.0,546.0,2.869780564263322,0.5559090909090916,3.4256896551724134
loop_-13718894_1,72.0,3600.0,72.0,12.776363636363635,13.901499999999995,12.684090909090909,60,107.0,3600.0,107.0,6.132051282051282,17.031333333333336,5.177435897435896,60,293.0,3600.0,293.0,9.194909090909091,18.70916666666666,5.242000000000001,60,35.0,186.0,221.0,-6.644312354312354,3.0628578088578093,-3.5814545454545446
loop_-624523286_0,11.0,3600.0,11.0,4.79,8.605,4.79,12,245.0,3600.0,245.0,5.7425,31.466666666666665,1.2191666666666667,12,242.0,3600.0,242.0,8.1375,15.836666666666666,2.140833333333333,12,234.0,-3.0,231.0,0.9524999999999997,2.3949999999999996,3.3474999999999993
loop_-7637536#1_0,46.0,3600.0,46.0,1.2677272727272728,97.18433333333334,0.7236363636363636,60,51.0,3600.0,51.0,0.3194285714285714,96.82149999999999,0.11057142857142857,60,40.0,3600.0,40.0,0.34866666666666674,97.36133333333332,0.09566666666666666,60,5.0,-11.0,-6.0,-0.9482987012987014,0.02923809523809534,-0.9190606060606061
loop_119880451_0,344.0,3600.0,344.0,6.578333333333333,8.193333333333333,6.034166666666667,12,345.0,3600.0,345.0,6.214166666666666,9.340833333333334,5.235,12,263.0,3600.0,263.0,6.27,7.203333333333333,5.238333333333333,12,1.0,-82.0,-81.0,-0.36416666666666675,0.05583333333333318,-0.30833333333333357
loop_119880453#0_0,84.0,3600.0,84.0,3.3271428571428574,3.421666666666667,3.2139285714285717,60,216.0,3600.0,216.0,3.572,8.319833333333333,3.3932727272727283,60,348.0,3600.0,348.0,4.000357142857142,12.561499999999999,3.6764285714285703,60,132.0,132.0,264.0,0.24485714285714266,0.4283571428571422,0.6732142857142849
loop_1246214209#0_0,1.0,3600.0,1.0,,0.3888333333333333,,60,0.0,3600.0,0.0,,0.0,,60,10.0,3600.0,10.0,0.5788888888888889,3.0814999999999997,0.5788888888888889,60,-1.0,10.0,9.0,,,
loop_1246214209#0_1,23.0,3600.0,23.0,6.831538461538461,4.019666666666667,5.05076923076923,60,61.0,3600.0,61.0,4.576250000000001,13.050166666666668,3.595250000000001,60,92.0,3600.0,92.0,2.32452380952381,33.35349999999999,1.2626190476190475,60,38.0,31.0,69.0,-2.25528846153846,-2.251726190476191,-4.507014652014651
loop_1246214209#0_2,8.0,3600.0,8.0,9.64,0.6796666666666668,8.206000000000001,60,23.0,3600.0,23.0,4.160000000000001,4.651,3.7928571428571436,60,46.0,3600.0,46.0,2.091851851851852,18.433833333333332,1.6044444444444443,60,15.0,23.0,38.0,-5.4799999999999995,-2.068148148148149,-7.548148148148149
loop_1286470869#0_0,278.0,3600.0,278.0,4.785897435897435,7.915333333333334,4.304615384615385,60,515.0,3600.0,515.0,6.7915789473684205,12.098333333333331,6.049824561403507,60,976.0,3600.0,976.0,7.813666666666667,19.106666666666662,7.035666666666667,60,237.0,461.0,698.0,2.0056815114709856,1.0220877192982467,3.0277692307692323
loop_624515490#0_0,48.0,3600.0,48.0,9.622,16.64366666666667,8.119000000000002,60,49.0,3600.0,49.0,4.451363636363637,12.109166666666667,3.262272727272727,60,167.0,3600.0,167.0,8.89265306122449,12.059666666666663,5.141224489795919,60,1.0,118.0,119.0,-5.170636363636363,4.4412894248608525,-0.7293469387755103
loop_624515490#0_1,3.0,3600.0,3.0,1.03,2.300333333333333,1.03,60,14.0,3600.0,14.0,0.7157142857142857,6.471833333333333,0.6385714285714286,60,63.0,3600.0,63.0,5.593043478260871,8.350833333333334,4.936086956521739,60,11.0,49.0,60.0,-0.3142857142857143,4.8773291925465845,4.56304347826087
loop_624515490#0_2,64.0,3600.0,64.0,1.2125,95.68666666666668,0.533,60,129.0,3600.0,129.0,2.261836734693878,92.61016666666669,0.5604081632653061,60,448.0,3600.0,448.0,3.9948214285714285,76.85166666666663,1.21125,60,65.0,319.0,384.0,1.049336734693878,1.7329846938775506,2.7823214285714286
